searchSlur,Slur,Represents,Reason
whack,Whack,Whites,Combination of white and black. Whites who act black.
whackyiraqi,Whacky Iraqi,Iraqis,When the U.S. drops the bomb they go nuts
whaleturd,Whale Turd,Blacks,Derived from the joke - Q. What do you call a black in the ocean? A. A whale turd.
wheatthin,Wheat Thin,Whites,Represents skinny white women with a tan.
whippingpost,Whipping Post,Blacks,Black people were whipped while they were slaves.
whiskeytango,Whiskey Tango,Whites,White trash in the military
whitechocolate,White Chocolate,Whites,Whites who try to act like Blacks.
whitedevil,White Devil,Whites,This was and still is used by Black Muslims who believe whites are spawns of the devil.  Malcolm X used this slur.
whiteeye,White Eye,Whites,Term used by Indians in the late 1800's to describe white settlers.
whitenigger,White Nigger,Irish,Blacks called Irish Americans this during the 1800's in retaliation to being called Nagurs
whiteout,White Out,Whites,Used by non-whites describing places uncomfortably too white
whitewall,White Wall,Blacks,White wall tires have a thin line of white. Used for blacks who pretend to be white.
white-wash,White-wash,Mixed Races,To be White-washed is to lose all culture after coming to the United States; also bleached.
whitebread,Whitebread,Whites,Self-explanatory
whiteflagger,Whiteflagger,French,Comes from the French surrendering (whiteflagging) many wars
whitetrash,Whitetrash,Whites,Lower class whites. Self-explanatory.
whitey,Whitey,Whites,Self-explanatory.
whopper,Whopper,Italians,Basically the idea of a WOP but in a more easily said slur
whosemydaddy?,Whose My Daddy?,Blacks,Common question among black children.
wic,Wic,Whites,White Irish Catholic'
widescreen,Widescreen,Asians,They see only widscreen vision because their eyes are typically wider than taller.
wigger,Wigger,Whites,Affluent suburban white kids who dress talk and act like they were brought up in the ghetto.
wiggerette,Wiggerette,Whites,Same as Wigger only for women.
wiggie/wigg,Wiggie/Wigg,Non-Whites,Non-Whites who date only Whites or have a strong preference for whites. Stands for white guy groupie or white girl groupie
wigglet,Wigglet,Whites,Young whites that think they are black.
wikkiwikki,Wikki Wikki,Blacks,DJ turntable scratching noise often heard in rap music.
windchimes,Windchimes,Blacks,A common practice of southerners was to hang blacks. When the wind blew and swung them back and forth against each other southerners would refer to them as windchimes.
windian,Windian,Whites,White people who try to act like they're Indian
windmillwinder,Windmill Winder,Dutch,They got lots of windmills
winkle,Winkle,Whites,Robert Van Winkle (aka Vanilla Ice)
winky,Winky,Asians,Eyes reference
wog,Wog,Asians,Abbreviation of either White- Westernised- or Worthy-Oriental Gentleman. Originally intended as a term denoting respect. In common use however it became a term of abuse/denigration.
wog,Wog,Greeks,Originated from the cheap labour sent to Australia to work on Government project in return for citizenship back around the 1940-1960's. Workers Of the Goverenment was printed on the back of their coveralls. Made popular by the movie  The Wog Boy 
wog,Wog,Indians,British Imperialists commonly referred to Indians as a WOG since they were commonly used as security it stood for Warden on Guard.
wog,Wog,Blacks,British short for Golliwogg  a stuffed doll that mimicked Blacks. Recently was dropped ( ref ) as the logo used on jars of Robertson's jams and marmalades.
woggle,Woggle,Asians,Variation of Wog
wonton,Won Ton,Whites,A white person who wants to be asian
wontonparmesan,Won Ton Parmesan,Mixed Races,Asian/Italian mix
wonderbread,Wonder Bread,Whites,Wonder Bread is white.
wonderbreadwop,Wonder Bread Wop,Italians,Used by Italians to describe Italians who are more assimilated into North American culture.
wood,Wood,Whites,Short for Peckerwood.
woodies,Woodies,Dutch,They're known to wear wooden shoes
wookie,Wookie,Blacks,In reference to the big brown Chewbacca the Wookie
woolhead,Wool Head,Blacks,Self-explanatory.
wooliejumpers,Woolie Jumpers,New Zealanders,Implies that New Zealanders enjoy 'jumping' sheep.
woolyback,Woolyback,Welsh,NW England origins. Lots of sheep in Wales.
wop,WOP,Italians,High class Italian. Stands for With Out Papers. Started when there was a big Italian emigration to the U.S. and many were coming in illegally (with out papers). Also could mean Working On Pavement or refer to guappo (pronounced woppo) a slang Italian (Neapolitan dialect) word meaning criminal or bully (strong person).
wopaho,WOPaho,Native Americans,Any person claiming to be part Navaho Indian but are without papers or pedigree showing it. Similar To Wigger In Some Respects. A couple of Kootenai Indians in my home town called some people this once and I heard it as a boy. Naturally I asked... You know there's always someone claimng to be part Navaho but they have no papers...
wopalock,Wopalock,Mixed Races,Italian/Polish mix -- Wop + Polock
wopski,Wopski,Mixed Races,Italian/Polish mix
wound,Wound,Whites,Used when Native Americans and Blacks describing Whites whom they see as hurting them many times in present and past and represent an ongoing unhealed open wound also wounds are often pink in color (the open sore) so it represents the color of many whites who look pink
wt,WT,Whites,White Trash.
wtt,WTT,Whites,White Trailer Trash
xarnego,Xarnego,Spanish,Originally meaning people whose ancestors came from different parts of Catalonia and later Spanish-speaking people that migrated into Catalonia.
yahoodi,Yahoodi,Jews,The word 'Jew' in Arabic.
yak,Yak,Bosnians,Bosniak shortened to yak also associated with their smell.
yakoo,Yakoo,Whites,From a Christ Rock skit on Saturday Night Live where he bemoans lack of racist terms for whites
yaku,Yaku,Whites,1960's Black Panther slang. Still used today
yam,Yam,Blacks,Term used extensively by the military in Robert O'Connors novel Buffalo Soldiers about US Soldiers stationed in Germany. Originates probably with the food which is a staple of southern cooking.
yam,Yam,Amish,Refers to the sound of the Pennsylvania Dutch dialect
yankwize/yangguizi,Yan Kwi Ze/Yang Gui Zi,Whites,White Westerner (esp. British) often preceded by chow (stinky) or si (goddamned).
yangguizi,Yang Guizi,Whites,Mandarin Chinese: Foreign Devil pronounced: yahng GWAY zi
yangmo,Yangmo,Asians,Generic term representing any Asian group without having to identify country of origin.
yank,Yank,Americans,A more commonly used derivative of Yankee used by pretty much every other English speaking country in the world. It is usually derogatory but can be an endearing term.
yankee,Yankee,Americans,Slang used primarily by the British. Also used in the former Confederate states to refer to people of the Union states. Origins can be traced to the Ottowa Indians calling the English Yang-gees which morphed into Yankees by the British who then took that home after the French and Indian war in 1763.
yankeedoodle,Yankee Doodle,Americans,Used by the British Army to make fun of the rag-tag American army in the revolutionary war.
yanni,Yanni,Greeks,The famous piano player named Yanni.
yao,Yao,Asians,Tall asians. Reference to Yao Ming a professional basketball player of Chinese origin.
yape,Yape,Mixed Races,Condensed form of Yard Ape. Applies towards Blacks or Mexicans. Blacks sit out in the yard to keep cool. Mexicans are gardeners thus always in the yard as well.
yardape,Yard Ape,Blacks,Low-income housing quite often has no air conditioning. Thus people who live in housing projects often sit out front to keep cool. This slur originated in the 60's and 70's.
yazzie,Yazzie,Native Americans,Common last name among Navajos which is used in the derogatorily by whites.
ybm,YBM,Blacks,Young Black Male police terminology.
yeehaw,Yeehaw,Whites,Common cowboy/redneck saying.
yellow,Yellow,Asians,Skin color (as compared to Caucasians).
yellowcab,Yellow Cab,Japanese,Japanese women who only date non-Japanese. Also used to indicate Japanese women who are supposed to be easy. I.E. anyone can ride her.
yellowdevil,Yellow Devil,Asians,Common name used by American servicemen to describe the Japanese. Play on White Devil
yellowmonkey,Yellow Monkey,Asians,Skin Color as well as referring to the Asian race as monkeys from Vietnam.
yelvis,Yelvis,Asians,Yellow Elvis. Asians with pompadours. Plural: Yelvi.
yen,Yen,Blacks,Yellow Eyed Nigger. These are Blacks usually male that due to a life of hard substance abuse have the whites of their eyes turn a hepatitis yellow.
yenta,Yenta,Jews,Know-it-all Jewish women. Not really a slur.
yerd,Yerd,Spanish,From Spaniards
yeti,Yeti,Nepalese,Yeti (Abominabol Snowman/Snowmen) live in the Himalayas
yick,Yick,Jewish/Hispanic,Yiddish combined with Spic
yid,Yid,Jews,The Yiddish connection
yid/yid-lid,Yid/Yid-Lid,Jews,Yid = Yiddish lid = Yarmulke.
yiddiot,Yiddiot,Jews,Yiddish and Idiot combined (stupid jew)
yigger,Yigger,Asians,Yellow nigger.
yitze,Yitze,Jews,Name for Jews. Also Yitze Braun Yitze Braud
yoboy/girl,Yo Boy/Girl,Whites,White person who tries to act black.
yoyo,Yo Yo,Blacks,Yo Yo's hang from strings.
yobo,Yobo,Koreans,Literally means sweetheart but used in deragatory manner
yogurt,Yogurt,Whites,Same color
yoko,Yoko,Japanese,Yoko Ono broke up the Beatles.
yolk,Yolk,Asians,Egg yolks are yellow.
yom,Yom,Blacks,In Brooklyn is short for melanzane.
yom,Yom,Jews,From the holiday Yom Kippur
yombo,Yombo,Blacks,The Yombo was a sandwich way back when that was the first to come in a styrofoam box. Spelled Yumbo or Yambo
yont'ansaram,Yont'an Saram,Blacks,Korean for coal person
youpeople,You People,Blacks,Ross Perot while at the 1992 NAACP convention in Nashville TN frequently addressed his audience as you people.  Revitalized again in April 2007 when Don Imus said I can't get any place with you people on the Rev. Al Sharpton's radio show.
youn,Youn,Vietnamese,Used by Cambodians. Youn was a tribe of Vietnamese descent that lived along the border between Vietnam and Cambodia. Cambodians did not trust them.
yt,YT,Whites,Pronounced White e Used by blacks.
yugo,Yugo,Yugoslavs,Self-explanatory (and because they can't make a car).
yukes,Yukes,Yugoslavs,Yugoslavs
yup-boon-jie,Yup-Boon-Jie,Japanese,While all races in Chinese are refered to as a type of ghost/shadow (sub-human) the word for Japanese is unique in that it means child.
yuppie,Yuppie,Whites,Young Urban Professional. Refers to a person with a well paid professional occupation and a well-to-do lifestyle. Used frequently in the 1980s. Not necessarily white but more common amongst them.
yurug,Yurug,Turks,If one (as a foreigner) listens closely to conversation between Turkish people it sounds like yurug appear quite often
zambo,Zambo,Mixed Races,Indian/African mix.
zegoggles,Ze Goggles,Blacks,They do nothing.
zeb,Zeb,Arabs,Zeb is the Arabic word for dick
zebra,Zebra,Mixed Races,Black/White mix. Relates the colors of a person's parents to the colors of a zebra's stripes.
zeeb,Zeeb,Whites,An alternate usage for the word wigger.
zerotepisado,Zerote Pisado,Salvadoreans,Means stepped-on piece of shit because they are called zerotes
zhid,Zhid,Jews,Russian-language version of Jew or yid.  Only considered a derogatory term close to kike in Orthodox Christian countries.. in others it simply means Jew.
zhidan,Zhidan,Jews,Romanian word for jew dirty jew or cheap jew
zigaboo,Zigaboo,Blacks,Variant of Jigaboo.
zipcoon,Zip Coon,Blacks,Black stereotypical character from Antebellum South.
zipperhead,Zipperhead,Asians,Coined by US soldiers during Korean War. Also used in the film Full Metal Jacket. MULTIPLE reasons have been submitted: 1) If Asians were shot in the head with high-powered weapons their heads would split as if you unzipped them 2) Vietnam War slang for Zero Intelligence Potential (IE: just kill them no reason to interrorgate them) 3) Many times the Asians would be run over by military Jeeps which left tire tracks on them that resembled zippers. 4) Asians tend to part their hair down the middle leaving a zipper-like strip. 5) I'm not sure if the military used body bags to transfer dead enemy soldiers but theres a possibly reference to the zipper on said bag. 6) WWII Japanese pilots wore leather helmets with zippers down the middle
zog,Zog,Jews,Zionist Occupation Government - Written near the body of murdered radio talk show host Allen Burg in Denver Co.
